u:, s:, b:, B:, a:, A:
49708240589, BTCUSDT, 59276.06000000, 3.42731000, 59276.07000000, 0.16574000
49708240593, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.16574000
49708240619, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.29954000
49708240620, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.32854000
49708240621, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.33324000
49708240625, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.33652000
49708240641, BTCUSDT, 59276.06000000, 2.84393000, 59276.07000000, 0.46304000
49708240650, BTCUSDT, 59276.06000000, 2.84159000, 59276.07000000, 0.46304000
49708240658, BTCUSDT, 59276.06000000, 3.26415000, 59276.07000000, 0.46304000
49708240660, BTCUSDT, 59276.06000000, 3.65648000, 59276.07000000, 0.46304000
49708240664, BTCUSDT, 59276.06000000, 3.66638000, 59276.07000000, 0.46304000
49708240670, BTCUSDT, 59276.06000000, 3.66638000, 59276.07000000, 0.46316000
49708240671, BTCUSDT, 59276.06000000, 3.69138000, 59276.07000000, 0.46316000
49708240708, BTCUSDT, 59276.06000000, 3.69138000, 59276.07000000, 0.82199000
49708240712, BTCUSDT, 59276.06000000, 3.69138000, 59276.07000000, 0.83861000
49708240716, BTCUSDT, 59276.06000000, 3.29905000, 59276.07000000, 0.83861000
49708240717, BTCUSDT, 59276.06000000, 3.29905000, 59276.07000000, 1.31455000
49708240719, BTCUSDT, 59276.06000000, 3.29905000, 59276.07000000, 0.83861000
49708240720, BTCUSDT, 59276.06000000, 3.18905000, 59276.07000000, 0.83861000
49708240721, BTCUSDT, 59276.06000000, 3.18905000, 59276.07000000, 1.04315000
49708240722, BTCUSDT, 59276.06000000, 3.18905000, 59276.07000000, 1.10897000
49708240724, BTCUSDT, 59276.06000000, 3.12623000, 59276.07000000, 1.10897000
49708240727, BTCUSDT, 59276.06000000, 2.92162000, 59276.07000000, 1.10897000
49708240728, BTCUSDT, 59276.06000000, 2.92162000, 59276.07000000, 1.12559000
49708240731, BTCUSDT, 59276.06000000, 2.92162000, 59276.07000000, 1.25654000
49708240732, BTCUSDT, 59276.06000000, 2.55262000, 59276.07000000, 1.25654000
49708240733, BTCUSDT, 59276.06000000, 2.60546000, 59276.07000000, 1.25654000
49708240736, BTCUSDT, 59276.06000000, 2.18290000, 59276.07000000, 1.25654000
49708240738, BTCUSDT, 59276.06000000, 2.18290000, 59276.07000000, 1.51593000
49708240739, BTCUSDT, 59276.06000000, 2.42585000, 59276.07000000, 1.51593000
49708240744, BTCUSDT, 59276.06000000, 2.42585000, 59276.07000000, 1.45011000
49708240745, BTCUSDT, 59276.06000000, 2.42612000, 59276.07000000, 1.45011000
49708240746, BTCUSDT, 59276.06000000, 2.42612000, 59276.07000000, 1.77008000
49708240750, BTCUSDT, 59276.06000000, 2.18317000, 59276.07000000, 1.77008000
49708240751, BTCUSDT, 59276.06000000, 2.18317000, 59276.07000000, 2.46167000
49708240752, BTCUSDT, 59276.06000000, 1.87669000, 59276.07000000, 2.46167000
49708240759, BTCUSDT, 59276.06000000, 1.84815000, 59276.07000000, 2.46167000
49708240760, BTCUSDT, 59276.06000000, 1.79531000, 59276.07000000, 2.46167000
49708240761, BTCUSDT, 59276.06000000, 1.77843000, 59276.07000000, 2.46167000
49708240764, BTCUSDT, 59276.06000000, 1.77363000, 59276.07000000, 2.46167000
49708240765, BTCUSDT, 59276.06000000, 1.77363000, 59276.07000000, 2.52749000
49708240768, BTCUSDT, 59276.06000000, 1.77342000, 59276.07000000, 2.52749000
49708240774, BTCUSDT, 59276.06000000, 1.51153000, 59276.07000000, 2.52749000
49708240775, BTCUSDT, 59276.06000000, 1.37734000, 59276.07000000, 2.52749000
49708240776, BTCUSDT, 59276.06000000, 1.34834000, 59276.07000000, 2.52749000
49708240778, BTCUSDT, 59276.06000000, 1.34794000, 59276.07000000, 2.52749000
49708240780, BTCUSDT, 59276.06000000, 1.33132000, 59276.07000000, 2.52749000
49708240781, BTCUSDT, 59276.06000000, 1.26550000, 59276.07000000, 2.52749000
49708240782, BTCUSDT, 59276.06000000, 1.26550000, 59276.07000000, 2.83397000
49708240797, BTCUSDT, 59276.06000000, 1.07055000, 59276.07000000, 2.83397000
49708240801, BTCUSDT, 59276.06000000, 1.33955000, 59276.07000000, 2.83397000
49708240824, BTCUSDT, 59276.06000000, 1.33915000, 59276.07000000, 2.83397000
49708240834, BTCUSDT, 59276.06000000, 1.33915000, 59276.07000000, 2.84400000
49708240847, BTCUSDT, 59276.06000000, 1.40497000, 59276.07000000, 2.84400000
49708240868, BTCUSDT, 59276.06000000, 1.48834000, 59276.07000000, 2.84400000
49708240877, BTCUSDT, 59276.06000000, 1.48795000, 59276.07000000, 2.84400000
49708240899, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.84400000
49708240903, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.77818000
49708240904, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.84400000
49708240913, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.83397000
49708240918, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.83437000
49708240919, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.83477000
49708240950, BTCUSDT, 59276.06000000, 1.40458000, 59276.07000000, 2.82183000
49708240999, BTCUSDT, 59276.06000000, 1.33876000, 59276.07000000, 2.82183000
49708241011, BTCUSDT, 59276.06000000, 1.33876000, 59276.07000000, 2.81855000
49708241014, BTCUSDT, 59276.06000000, 1.33876000, 59276.07000000, 3.01556000
49708241041, BTCUSDT, 59276.06000000, 1.33876000, 59276.07000000, 2.77224000
49708241043, BTCUSDT, 59276.06000000, 1.33548000, 59276.07000000, 2.77224000
49708241085, BTCUSDT, 59276.06000000, 1.31048000, 59276.07000000, 2.77224000
49708241091, BTCUSDT, 59276.06000000, 1.17996000, 59276.07000000, 2.77224000
